Date,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,WindSpeedMPH,Event
1/1/2016,38.0,23.0,52.0,30.03,10.0,8.0,Rain
1/2/2016,36.0,18.0,46.0,30.02,10.0,7.0,Sunny
1/3/2016,34.90909090909091,19.818181818181817,47.0,29.86,10.0,8.0,Snow
1/6/2016,33.0,19.818181818181817,35.0,29.988181818181825,10.0,4.0,Rain
1/7/2016,39.0,11.0,33.0,30.28,10.0,2.0,Cloudy
1/8/2016,39.0,29.0,49.63636363636363,30.2,10.0,4.0,Sunny
1/9/2016,44.0,38.0,77.0,30.16,9.25,8.0,
1/10/2016,34.90909090909091,46.0,49.63636363636363,29.988181818181825,4.0,6.3,Snow
1/11/2016,33.0,8.0,37.0,29.92,10.0,6.3,
1/12/2016,35.0,19.818181818181817,53.0,29.85,10.0,6.0,
1/13/2016,26.0,4.0,49.63636363636363,29.94,10.0,10.0,Rain
1/14/2016,34.90909090909091,12.0,47.0,29.988181818181825,9.25,6.3,Rain
1/17/2016,36.0,23.0,66.0,29.78,8.0,6.0,Snow
1/18/2016,25.0,6.0,53.0,29.83,9.0,6.3,Sunny
